stripped_name,pl_hostname,pl_letter,pl_orbper,pl_trandep,pl_radj,pl_orbincl,pl_eccen,pl_tranmid,st_rad,st_mass
kepler128,Kepler-128,b,15.09,0.00742,0.128,90.0,0.0,2455008.95561,1.61,1.09
kepler128,Kepler-128,c,22.804,5.8665344686799734e-05,0.12,90.0,0.0,,1.61,1.09
kepler129,Kepler-129,b,15.79186,0.02031,0.21100000000000002,90.0,0.01,2455009.82166,1.64,
kepler129,Kepler-129,c,82.20017,0.0002023181778588405,0.22699999999999998,90.0,0.2,2455041.78963,1.64,
kepler130,Kepler-130,b,8.457458,0.00834,0.091,89.34,0.15,2454972.06666,1.13,
kepler130,Kepler-130,c,27.50868,0.064,0.259,89.34,0.0,2455015.1039,1.13,
kepler130,Kepler-130,d,87.517905,0.00017628676624833174,0.146,90.0,0.8,2455034.15805,1.13,
kepler131,Kepler-131,b,16.092,0.0063100000000000005,0.215,90.0,0.0,2455003.59795,1.03,1.02
kepler131,Kepler-131,c,25.5169,5.59910954005199e-05,0.075,90.0,0.0,2454987.42342,1.03,1.02
kepler132,Kepler-132,b,6.178196,0.01019,0.10800000000000001,90.0,0.0,2455001.86198,1.18,
kepler132,Kepler-132,c,6.414914,9.85636038970805e-05,0.114,90.0,0.0,2455002.63908,1.18,
kepler132,Kepler-132,d,18.010199,0.00014443253867466922,0.138,90.0,0.0,2455012.42116,1.18,
kepler133,Kepler-133,b,8.129976,0.03576,0.157,90.0,0.0,2454958.97047,1.43,
kepler133,Kepler-133,c,31.517586,0.0003305520493928492,0.253,90.0,0.0,2455018.15322,1.43,
kepler134,Kepler-134,b,5.317429,0.02842,0.17800000000000002,90.0,0.0,2455004.87608,1.18,
kepler134,Kepler-134,c,10.105785,9.513556842759142e-05,0.11199999999999999,90.0,0.0,2454968.50716,1.18,
kepler135,Kepler-135,b,6.00253,0.0202,0.161,90.0,0.0,2455004.71611,1.27,
kepler135,Kepler-135,c,11.448708,6.946049823832643e-05,0.10300000000000001,90.0,0.0,2454974.38697,1.27,
kepler196,Kepler-196,c,47.427737,0.0006942912190566038,0.2,90.0,0.0,2455049.55425,0.78,
kepler197,Kepler-197,b,5.599308,0.0091,0.091,90.0,0.02,2455004.4728200003,1.12,
kepler197,Kepler-197,c,10.349695,0.0001018638793418339,0.11,90.0,0.08,2455007.06421,1.12,
kepler197,Kepler-197,d,15.677563,0.00010002022731077096,0.109,90.0,0.03,2455012.46886,1.12,
kepler197,Kepler-197,e,25.209715,5.523379441006381e-05,0.081,90.0,0.38,2454987.41342,1.12,
kepler198,Kepler-198,b,17.790037,0.02628,0.252,90.0,0.0,2455015.43638,0.94,
kepler198,Kepler-198,c,49.567416,0.000578442961731084,0.22,90.0,0.0,2455002.5400099996,0.94,
kepler199,Kepler-199,b,23.637604,0.11713,0.27699999999999997,90.0,0.0,2455005.64846,0.97,
kepler199,Kepler-199,c,67.093408,0.0009438944096712344,0.29,90.0,0.0,2454979.56577,0.97,
kepler200,Kepler-200,b,8.594805,0.03365,0.19,90.0,0.0,2455004.6299799997,0.94,
kepler200,Kepler-200,c,10.222157,0.0002409860305856524,0.142,90.0,0.0,2454968.8905599997,0.94,
kepler201,Kepler-201,b,25.672083,0.03871,0.21899999999999997,90.0,0.0,2455025.09705,1.23,
kepler201,Kepler-201,c,151.884058,0.00045032711462122786,0.254,90.0,0.0,2455009.41816,1.23,
kepler202,Kepler-202,b,4.069427,0.05491,0.145,90.0,0.0,2455004.01577,0.67,
kepler202,Kepler-202,c,16.282493,0.0006404558098783515,0.165,90.0,0.0,2455013.79623,0.67,
kepler203,Kepler-203,b,3.162697,0.05261,0.22899999999999998,90.0,0.0,2455002.64158,1.11,
kepler203,Kepler-203,c,5.370647,0.00041483012822464557,0.22,90.0,0.0,2455005.23697,1.11,
kepler203,Kepler-203,d,11.32972,0.00014042514092629324,0.128,90.0,0.0,2454966.96882,1.11,
hd149026,HD 149026,b,2.87589,0.29,0.74,84.55,0.0,2454456.78761,1.41,1.42
hd189733,HD 189733,b,2.21857567,2.4,1.13,85.71,0.0,2453955.525551,0.75,0.79
hd209458,HD 209458,b,3.52474859,1.5,1.39,86.71,0.0,2451659.93742,1.19,1.23
kepler18,Kepler-18,b,3.504725,0.0254,0.17800000000000002,84.92,0.0,2454966.5068,1.11,0.97
kepler18,Kepler-18,c,7.64159,0.22866,0.49,87.68,0.0,2455167.0883,1.11,0.97
kepler18,Kepler-18,d,14.85888,0.3265,0.623,88.07,0.0,2455169.1776,1.11,0.97
kepler19,Kepler-19,b,9.28716,0.06917000000000001,0.19699999999999998,89.94,0.12,2454968.9945,0.86,0.94
kepler20,Kepler-20,b,3.69611525,0.03967,0.16699999999999998,87.355,0.03,2454967.502014,0.96,0.95
kepler20,Kepler-20,c,10.85409089,0.0008477469357485901,0.272,89.815,0.16,2454971.607955,0.96,0.95
kepler20,Kepler-20,d,77.61130017,0.000687797494300242,0.245,89.708,0.6,2454997.7303,0.96,0.95
kepler20,Kepler-20,e,6.09852281,6.793754841659536e-05,0.077,87.632,0.28,2454968.931544,0.96,0.95
kepler20,Kepler-20,f,19.57758478,9.076291465809607e-05,0.08900000000000001,88.788,0.32,2454968.20706,0.96,0.95
kepler21,Kepler-21,b,2.78578,0.006217,0.146,83.2,0.02,2456798.7188,1.9,1.41
kepler22,Kepler-22,b,289.8623,0.05019,0.212,89.764,0.0,2454966.6983,0.98,0.97
kepler23,Kepler-23,b,7.1073,0.0131,0.17,90.0,0.06,2454971.3022,1.55,
kepler23,Kepler-23,c,10.7421,0.00035702383471980975,0.285,90.0,0.02,2454966.2926,1.55,
kepler23,Kepler-23,d,15.274299,0.0001688572192624957,0.196,90.0,0.08,2454980.58253,1.55,
kepler24,Kepler-24,b,8.1453,0.02017,0.214,90.0,0.0,2454973.5689,1.29,
kepler24,Kepler-24,c,12.3335,0.0003966171444718972,0.25,90.0,0.0,2454970.586,1.29,
kepler24,Kepler-24,d,4.244384,0.00014088475559072942,0.149,90.0,0.0,2454970.0641099997,1.29,
kepler24,Kepler-24,e,18.998355,0.00039029665365759305,0.248,90.0,0.0,2454977.74357,1.29,
kepler25,Kepler-25,b,6.238297,0.04028,0.245,92.82700000000001,0.0029,2455703.42004,1.31,1.19
kepler25,Kepler-25,c,12.7207,0.001330559196762555,0.465,92.764,0.0061,2455711.15013,1.31,1.19
kepler26,Kepler-26,b,12.28,0.0507,0.248,90.0,0.0,2456471.2497,0.51,0.54
kepler26,Kepler-26,c,17.2559,0.002397414245951005,0.243,90.0,0.0,2456470.183,0.51,0.54
kepler26,Kepler-26,d,3.543919,0.0003664187974344668,0.095,90.0,0.0,2454969.25903,0.51,0.54
kepler26,Kepler-26,e,46.827915,0.001876754450017532,0.215,90.0,0.0,2454969.7431799998,0.51,0.54
kepler27,Kepler-27,b,15.3348,0.30814,0.35700000000000004,90.0,0.0,2454991.6726,0.59,0.65
kepler27,Kepler-27,c,31.3309,0.005793349606839513,0.43700000000000006,90.0,0.0,2454986.4274,0.59,0.65
kepler28,Kepler-28,b,5.9123,0.10629,0.321,90.0,0.0,2454975.6227,0.7,0.75
kepler28,Kepler-28,c,8.9858,0.0019786093801773337,0.303,90.0,0.0,2454981.7277,0.7,0.75
kepler29,Kepler-29,b,10.33974,0.102,0.22699999999999998,89.13,0.0,2455003.38549,0.73,0.76
kepler29,Kepler-29,c,13.28613,0.0008656009784002464,0.209,90.0,0.0,,0.73,0.76
kepler30,Kepler-30,b,29.33434,0.165,0.348,90.179,0.042,2455246.6476,0.95,0.99
kepler30,Kepler-30,c,60.323105,1.62,1.097,90.323,0.0111,2455357.887042,0.95,0.99
kepler30,Kepler-30,d,143.34394,0.83,0.785,89.84100000000001,0.022,2455273.5302,0.95,0.99
kepler31,Kepler-31,b,20.8613,0.1895,0.491,90.0,0.0,2454992.141,1.22,1.21
kepler31,Kepler-31,c,42.6318,0.1729,0.473,90.0,0.0,2454974.191,1.22,1.21
kepler31,Kepler-31,d,87.6451,0.0959,0.348,90.0,0.0,2454967.942,1.22,1.21
kepler32,Kepler-32,b,5.90124,0.165,0.196,90.0,0.0,2454974.902,0.53,0.58
kepler32,Kepler-32,c,8.7522,0.1453,0.17800000000000002,90.0,0.0,2454977.378,0.53,0.58
kepler32,Kepler-32,d,22.7802,0.2181,0.24100000000000002,90.0,0.0,2454988.211,0.53,0.58
kepler32,Kepler-32,e,2.896,0.0671,0.134,90.0,0.0,2454966.61,0.53,0.58
