,stripped_name,pl_tranmid,pl_orbincl,pl_orbper,pl_trandep,pl_eccen,pl_letter
0,11com,,,326.03,,0.231,b
1,11umi,,,516.21997,,0.08,b
2,14and,,,185.84,,,b
3,14her,,,1773.40002,,0.37,b
4,16cygb,,,799.5,,0.689,b
5,18del,,,993.3,,0.08,b
6,1rxsj160929.1210524,,,,,,b
7,24boo,,,30.3506,,0.042,b
8,24sex,,,452.8,,0.09,b
9,2massj012250932439505,,,,,,b
10,2massj021922103925225,,,,,,b
11,2massj04414489+2301513,,,,,,b
12,2massj120733463932539,,,,,,b
13,2massj19383260+4603591,,,416.0,,,b
14,2massj21402931+1625183a,,46.2,7336.5,,0.26,b
15,2massj22362452+4751425,,,,,,b
16,30arib,,,335.10001,,0.29,b
17,42dra,,,479.1,,0.38,b
18,47uma,,,1083.2,,0.032,b
19,4uma,,,269.3,,0.432,b
20,51eri,,133.0,11688.0,,0.45,b
21,51peg,,80.0,4.230785,,0.0,b
22,55cnc,2455607.05562,83.3,0.7365478,0.038,0.0023,b
23,61vir,,,4.215,,0.14,b
24,6lyn,,,934.3,,0.073,b
25,70vir,,,116.6926,,0.4,b
26,75cet,,,691.9,,0.117,b
27,7cma,,,796.0,,0.06,b
28,81cet,,,952.7,,0.206,b
29,8umi,,,93.4,,0.06,b
30,91aqr,,,181.4,,0.027,b
31,abpic,,,,,,b
32,alfari,,,380.8,,0.25,b
33,alftau,,,628.96,,0.1,b
34,bd+032562,,,481.9,,0.2,b
35,bd+144559,,,268.94,,0.29,b
36,bd+152375,,,153.22,,0.001,b
37,bd+152940,,,137.48,,0.26,b
38,bd+202457,,,379.63,,0.15,b
39,bd+20274,,,578.2,,0.21,b
40,bd+20594,2457068.52877,89.55,41.6855,0.049,,b
41,bd+48738,,,392.6,,0.2,b
42,bd+48740,,,733.0,,0.76,b
43,bd+49828,,,2590.0,,0.35,b
44,bd061339,,,3.8728,,0.31,b
45,bd082823,,,5.6,,0.19,b
46,bd103166,,,3.48777,,0.02,b
47,bd114672,,,1667.0,,0.05,b
48,bd132130,,,714.29999,,0.21,b
49,bd1763,,,655.59998,,0.54,b
50,betcnc,,,605.2,,0.08,b
51,betpic,,88.81,7482.5,,0.06,b
52,betumi,,,522.3,,0.19,b
53,cfbdsirj145829+101343,,,10037.5,,,b
54,chxr73,,,,,,b
55,citau,,50.5,8.9891,,0.25,b
56,corot1,2454138.303971,84.42,1.50897655,1.9265400000000001,0.071,b
57,corot10,2454273.3436,88.57,13.2406,1.61036,0.524,b
58,corot11,2454690.49838,83.17,2.99433,1.1449,,b
59,corot12,2454398.6277099997,85.71,2.82805268,1.744,0.07,b
60,corot13,2454790.8091,88.02,4.03519,,,b
61,corot14,2454787.6694,79.6,1.51214,,,b
62,corot16,2454923.9138,85.01,5.35227,1.02,0.33,b
63,corot17,2454923.3093,88.3,3.7681,,,b
64,corot18,2455321.72412,86.5,1.90009,,,b
65,corot19,2455257.4418,88.0,3.89713,,0.047,b
66,corot2,2454237.5354009997,87.84,1.7429975,2.75,0.0143,b
67,corot20,2455266.0016,88.21,9.24318,,0.562,b
68,corot21,2454399.0282,86.8,2.72474,,,b
69,corot22,2454598.42014,89.749,9.75598,,0.077,b
70,corot23,2455308.94,85.7,3.6313,,0.16,b
71,corot24,2454789.611,89.0,5.1134,,,b
72,corot25,2454576.2156,84.5,4.86069,,,b
73,corot26,2454573.6299,86.8,4.20474,,,b
74,corot27,2455748.685,86.7,3.57532,,,b
75,corot28,2455755.8466,88.1,5.20851,,0.047,b
76,corot29,2457212.60482,85.8,2.85057,,0.082,b
77,corot3,2454283.13388,86.1,4.2567994,0.4398,0.008,b
78,corot30,2455665.5146,90.0,9.06005,,0.007,b
79,corot31,2455843.9445,83.2,4.62941,,0.02,b
80,corot4,2454141.36493,90.0,9.20205,,0.0,b
81,corot5,2454400.1996299997,85.68,4.0379156,1.461,0.09,b
82,corot6,2454595.61515,88.88,8.886593,,,b
83,corot7,2454398.0775599997,80.1,0.85359163,0.035,0.12,b
84,corot8,2454238.9743,88.18,6.212445,0.651,,b
85,corot9,2454603.3447,89.99,95.272656,1.55,0.134,b
86,corotid223977153,2455901.811,89.0,6.71837,0.29,,b
87,ctcha,,,,,,b
88,decvn,,,4098.1,,,b
89,denispj082303.1491201,,56.6,246.36,,0.345,b
90,dhtau,,,,,,b
91,dmpp1,,,2.882,,,b
92,dmpp2,,,5.2072,,,b
93,dmpp3a,,,6.6732,,0.14,b
94,dpleo,,,10220.0,,0.39,b
95,dstuca,2458332.3099700003,88.83,8.138268,0.2936,,b
96,epic201238110,2456852.6572,,28.1656,0.316,,b
97,epic201497682,2456850.0263,,2.13174,0.0322,,b
98,epic201841433,2456853.33,,4.16959,0.0447,,b
99,epic206024342,2456899.1324,,4.50717,0.0267,,b
100,epic206032309,2456899.132,,2.87814,,,b
101,epic206042996,2456899.1227,,5.29711,0.197,,b
102,epic206215704,2457010.0005,,2.25558,0.269,,b
103,epic206317286,2457011.3327,,1.58316,0.03,,b
104,epic211822797,2457165.577,89.73,21.169687,0.1041,0.06,b
105,epic211945201,2458113.93994,87.9,19.49213,0.1639,,b
106,epic212297394,2457261.4607,,2.28943,0.0535,,b
107,epic212424622,2457263.2616,,18.0971,0.0298,,b
108,epic212499991,2457280.6254,,34.885,,,b
109,epic212587672,2457273.4906,,15.2841,0.0187,,b
110,epic212737443,2457234.97,89.63,13.603,0.146,0.2,b
111,epic220674823,2457437.42948,89.35,0.571285,0.02847,0.18,b
112,epic246851721,2457865.11032,86.21,6.180235,0.464,,b
113,epic248847494,2457967.17,89.87,3650.0,,,b
114,epic249893012,2458008.652,89.47,3.5951,,0.06,b
115,epscrb,,,417.9,,0.11,b
116,epseri,,30.1,2502.0,,0.702,b
117,epsinda,,64.25,16510.0,,0.26,b
118,epstau,,,594.9,,0.151,b
119,futau,,,,,,b
120,g940,2458497.77747,88.57,5.746007,0.365,,b
121,gam1leo,,,428.5,,0.144,b
122,gamcep,,,903.3,,0.049,b
123,gamlib,,,415.2,,0.057,b
124,gj1061,,,3.204,,,b
125,gj1132,2457184.5575900003,86.58,1.6289287,,,b
126,gj1148,,,41.38,,0.38,b
127,gj1214,2455320.5357330004,88.39,1.58040494,,,b
128,gj1252,2458668.0973900002,85.0,0.5182349,0.08477,,b
129,gj1265,,,3.6511,,0.04,b
130,gj143,2458385.92502,89.33,7.78993,0.161,0.188,b
131,gj15a,,,11.4433,,0.094,b
132,gj160.2,,,5.2354,,0.06,b
133,gj163,,,8.63182,,0.073,b
134,gj179,,,2288.0,,0.21,b
135,gj180,,,17.133,,0.07,b
136,gj229,,,121.995,,0.1,c
137,gj27.1,,,15.819,,0.08,b
138,gj273,,,4.7234,,0.1,b
139,gj3021,,,133.71,,0.511,b
140,gj3082,,,11.949,,0.22,b
141,gj3138,,,1.22003,,0.11,b
142,gj317,,45.0,692.0,,0.11,b
143,gj328,,,4100.0,,0.37,b
144,gj3293,,,30.5987,,0.06,b
145,gj3323,,,5.3636,,0.23,b
146,gj3341,,,14.207,,0.31,b
147,gj3470,2456090.47701,89.13,3.336649,0.52,0.017,b
148,gj3512,,,203.59,,0.4356,b
149,gj357,2458517.99862,89.12,3.93072,0.11642999999999999,,b
150,gj3634,,59.0,2.64561,,0.08,b
151,gj3779,,,3.0232,,0.07,b
152,gj3942,,,6.905,,0.121,b
153,gj3998,,,2.64977,,0.049,b
154,gj411,,,12.9532,,0.22,b
155,gj422,,,20.129,,0.11,b
156,gj4276,,,13.352,,0.37,b
157,gj433,,,7.3705,,0.04,b
158,gj436,2454865.084034,86.774,2.64389788,0.6819,0.13827,b
159,gj504,,,,,,b
160,gj536,,,8.708,,0.08,b
161,gj581,,,5.3686,,0.022,b
162,gj625,,,14.628,,0.13,b
163,gj649,,,598.3,,0.3,b
164,gj667c,,,7.20066,,0.172,b
165,gj674,,,4.6938,,0.2,b
166,gj676a,,45.0,3.6005,,0.323,b
167,gj682,,,17.478,,0.08,b
168,gj685,,,24.16,,,b
169,gj687,,,38.14,,0.04,b
170,gj832,,,35.68,,0.08,b
171,gj849,,,1845.0,,0.038,b
172,gj86,,,15.76491,,0.046,b
173,gj876,,48.98,1.93778,,0.25590999999999997,b
174,gj96,,,73.94,,0.44,b
175,gj9827,2457738.8258599997,87.443,1.2089819,0.0361,,b
176,gl378,,,3.822,,0.109,b
177,gl49,,,13.8508,,0.363,b
178,gl686,2450606.8,,15.5314,,0.077,b
179,gqlup,,,,,,b
180,gsc0621400210,,,,,,b
181,gupsc,,,,,,b
182,hatp1,2456114.345307,85.634,4.46529974,,,b
183,hatp11,2454957.8124639997,89.36,4.88780267,0.43421000000000004,0.601,b
184,hatp12,2454419.19584,89.1,3.2130589,1.977,0.026,b
185,hatp13,2455176.53893,81.93,2.9162433,,0.007,b
186,hatp14,2457138.21545,84.21,4.6276594,0.648,0.1074,b
187,hatp15,2454638.56094,89.1,10.8635,1.0,0.19,b
188,hatp16,2455027.592939,87.74,2.77597024,1.147,0.0462,b
189,hatp17,2454801.17018,89.2,10.338523,1.5,0.3417,b
190,hatp18,2457507.592196,88.53,5.5080291,2.179,0.009,b
191,hatp19,2455091.535,88.51,4.0087842,,0.067,b
192,hatp2,2455288.8491,86.16,5.6334675,0.4941,0.52,b
193,hatp20,2455080.92661,86.8,2.87531694,,0.0172,b
194,hatp21,2454996.41312,87.2,4.124481,0.9,0.217,b
195,hatp22,2454930.22016,86.46,3.21223328,1.1,0.0064,b
196,hatp23,2454852.26548,85.74,1.21288287,1.4,0.096,b
197,hatp24,2455216.9766700002,90.0,3.3552479,0.94,0.07,b
198,hatp25,2457006.91299,88.22,3.65281591,0.0161,0.023,b
199,hatp26,2455304.6521799997,88.6,4.2345023,0.54,0.124,b
200,hatp27,2455407.9088,85.08,3.0395803,1.43,0.078,b
201,hatp28,2455417.59908,88.0,3.257215,,0.051,b
202,hatp29,2456210.6153599997,87.99,5.72339,0.782,0.104,b
203,hatp3,2454856.70118,86.75,2.89973838,1.2,,b
204,hatp30,2455456.4662,83.6,2.8106084,1.3,0.02,b
205,hatp31,2458169.941,87.1,5.0052724,0.65,0.25,b
206,hatp32,2455867.402743,88.9,2.15000825,2.3,0.159,b
207,hatp33,2455110.92595,87.2,3.47447,1.1,0.13,b
208,hatp34,2456462.14718,87.1,5.452647,0.64,0.432,b
209,hatp35,2456836.75811,87.3,3.6466566,0.91,0.025,b
210,hatp36,2456698.73591,87.13,1.3273466,1.4,0.063,b
211,hatp37,2455642.14382,86.67,2.7974471,1.899,0.058,b
212,hatp38,2457491.87585,88.3,4.6403293,,0.067,b
213,hatp39,2455208.75049,87.0,3.54387,,,b
214,hatp4,2454245.8152099997,89.67,3.0565254,,0.004,b
